OBJECTID,LWC_Ident,Name,BLM_Acres,BDY_Change,P_LWC,Size,Next_to_Wild_Preserve,Naturalness,Solitude,Manage,Comments,created_date,last_edited_date,GlobalID,AttachID,SHAPE_Length,SHAPE_Area
217,COS-060-028,Cebolla Creek,10561.68460705,,Yes,Yes,No,Yes,Yes,NOT_YET_CONSIDERED,Cebolla Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{57FE60E5-1E66-4EE0-A6B2-C5C03EB88DB3},103,95000.0139045108,42741703.0046778
218,COS-060-029,Sugar Creek,11654.57044888,Excessive Disturbance,Yes,Yes,No,Yes,Yes,NOT_YET_CONSIDERED,Sugar Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{152BC3F1-EB68-44FB-8118-C68148A36B99},123,62138.4321208141,47164456.0058925
219,COS-060-030,South Beaver Creek,7368.97725445,,Yes,Yes,No,Yes,Yes,NOT_YET_CONSIDERED,South Beaver Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{3AE8FDB6-37A0-46D6-A20D-3C0D34467C11},121,67159.06626602,29821322.7254909
220,COS-060-031,Stubbs Gulch,6369.62354574,,Yes,Yes,No,Yes,Yes,NOT_YET_CONSIDERED,Stubbs Gulch,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{2855EE5C-A7C3-4FB8-9732-864B6A953AF4},122,55308.8806884658,25777009.6472145
221,COS-060-002,Upper Henson Creek,10.56670405,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,Upper Henson Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{0CA0D861-783D-4386-BC92-67C13B7289BC},129,1404.83985341599,42762.7904596476
222,COS-060-015,Eaton Creek,61.82156512,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,Eaton Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{CF0969B1-A5CA-4A95-9DAE-09F3A917C310},107,2242.88191592094,250182.997849594
223,COS-060-016,Devils Creek,1300.99493868,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,Devils Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{7C3671ED-16F5-4127-AAE2-2E9F8FC053F3},104,22478.5555318941,5264945.51246127
224,COS-060-014-A,Snare Creek,23.32747818,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,Snare Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{65E76EA6-1608-433D-8869-9BE95C4CC157},118,1783.66394825738,94402.954891799
225,COS-060-014-B,Snare Creek,291.96947917,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,Snare Creek,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{7812C2E2-D92D-495E-9A17-2A458F40BFA0},119,8816.89415517276,1181558.56192843
226,COS-060-004,East Cinnamon Pass,386.94997754,,Yes,No,Yes,Yes,Yes,NOT_YET_CONSIDERED,East Cinnamon Pass,2013/07/18 20:11:41+00,2019/12/19 17:17:33+00,{C4FEDFE2-5025-48F2-B6DC-21D41CD56AAD},95,6630.74444230997,1565939.51224259
